A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Type of Day,,Time From Creation,,364-Day Bible Reference Calendar Date (BR),,,,,,,Gregorian-Hebrew Calendar Date (GH)-365.2421875 Days per Year,,,,,,,,,Julian Calendar,Data Entry,Data Entry,Calculation DFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ID#,Scripture Reference,Event Title Description,Brief Information,Type of Dated Event,Calculated Calendar Day#  =CD# Calculated F + AN,#364-Day YFC=Years Calculated From Creation ," # of Days From Creation Day 1=""G"" X  364 + ""F""+3  ", Day of the Week, 364 Day Julian Month, Day# of the Month,364-Day Hebrew Month,Day# of the Month,364 Day Year,BC AD,Day of the Week,Gregorian Month,Day of Month,Master Solar Hebrew Month,Day of Month,Solar Year,BC AD,Gregorian Type Year N-L-S,Solar CD# ,Day# on The Julian Calendar= Days from CR Day 3 + 223861.75,#364-Day Years From Previous Event,#Days From Previous Event,"#Years from Creation Column ""G"" Divided By 5 = DFC/CD#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Genesis 1:1-2,"Creation Week Begins-""the beginning""","Sunday, 6:00 p.m. on a solar calendar, is “the beginning” of Creation Week and the start of Monday, Creation Day 1 on the 364-Day Hebrew calendar consistent with the Biblical text. This 364-Day Bible Reference (BR) calendar digitally generates the main solar calendars used today. This opening verse of Scripture states that God begins the act of Creation by creating the space needed for the universe and matter in the form of the earth. When it is 6:00 p.m. in what is now known as Israel, it is 3:00 a.m. on the International Date Line of the same day. It is important to understand that a 24-hour Hebrew calendar day starts at 6:00 p.m. of the day prior to a normal solar calendar day that starts at midnight. On the Gregorian solar calendar, generated by the 364-Day calendar, the start time of Creation Week is 6:00 p.m. on Sunday, October 21 in 4101 BC. It is from this moment in time that the events of Scripture can be measured on the solar calendars and clocks currently in use today. The Julian day number, given on this date on the solar calendar, is at the end of Sunday at 6:00 p.m. This moment in time starts the beginning of Monday, Creation Day 1 on the Hebrew calendar consistent with the dated events of Scripture. All future Julian day numbers represent the day number at the start of the Hebrew day at 6:00 p.m. This is the moment time begins. From this point on, a segment of eternity can be measured on a calendar in days, weeks, months and years.","""the beginning""",362,0,0,Monday,October,14,Creation Day,1,4115,BC,Sunday,October,21,Creation Day,7,4101,BC,S,4,223858.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Genesis 1:1-5,Creation Day 1 ,"Time intersects and anchors into eternity as time begins the events of Creation Day 1. On this “first day”, the heavens, earth, time, light and energy are created. Time begins as God starts the act of Creation by creating a great deal of space. Into this large amount of space, God creates a large amount of formless and seemingly non-energized matter called earth. This monument event of Creation Week that is both incomprehensible and unexplainable is described with very few words in Genesis 1:1-2: “In the beginning God created the heavens and the earth. The earth was without form, and void; and darkness was on the face of the deep. And the Spirit of God was hovering over the face of the waters”. This seemingly effortless action taken by God is followed by his first recorded command in Genesis 1:3: “Let there be light”; and there was light.” \pMany commentaries on this verse emphasize the theory that God simply turns on the light in a vast expanse of darkness during this part of the Creation process. We can easily miss the significance of this event if we assume that God was working in the dark prior to this moment. This verse is Genesis is describing a much more significant act of Creation that is easily missed by the economy of words in the text. The light that we see is only one of more than 75 octaves of known forms of light. The entire electromagnetic spectrum of light is infused as energy into all matter and seemingly empty space. Science claims that even in empty space, that contains no molecules of matter, there is a tremendous amount of energy. This “light” is the glue that gives shape and motion to the chemical elements that make up space and matter. At the moment “light” is created in history, all matter and space is energized and begins to move. \pHistory begins and everything exists in measurable time. In Genesis 1:3, God starts and continually sustains the constantly moving and energized universe. Time and history begin with the simple declaration of His Word, “Let there be light”; and there was light”.  The Julian day number given on this date is at the end of Monday at 6:00 p.m. which starts the beginning of Tuesday, Creation Day 2. All future Julian day numbers, ending digitally with .75, represent the day number at the start of the Hebrew calendar day at 6:00 p.m. This Bible Timeline research will clearly show that the 364-Day calendar, consistent with Scripture, digitally starts on this day and generates the solar calendars used on earth today.",Day#1 Creation,362,0,1,Monday,October,14,Creation Day,1,4115,BC,Monday,October,22,Heshvan ,1,4101,BC,S,5,223859.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Genesis 1:6-8,Creation Day 2,"Space and matter are separated on Creation Day 2. Day 2 of Creation Week is another day of separation and order. On this day, the earth that is covered in water is separated by a space called the “firmament” which God calls “Heaven” in Genesis 1:8. This “firmament” is the sky and space above that we see when we look up from the earth. In this atmosphere wrapped around the earth, in this space called heaven, there is also a great amount of water in the form of thick clouds which some refer to as a canopy of water vapor around the earth. The exact nature of this water area above the area called firmament or heaven cannot be precisely known as it has apparently changed since the time of Noah’s Flood. In Scripture, the first heaven is what we would call our atmosphere and is what is created on Creation Day 2. The second heaven in Scripture is created on Creation Day 4 when God makes the sun, moon, stars, and everything we refer to as the universe beyond our atmosphere. The third heaven of Scripture is what we normally refer to as the place where God is seen and the dwelling place of the saints. This third heaven is referred to by Paul in 2 Corinthians 12:2.",Day#2 Creation,363,0,2,Tuesday,October,15,Creation Day,2,4115,BC,Tuesday,October,23,Heshvan ,2,4101,BC,S,6,223860.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Genesis 1:9-13,Creation Day 3,"The first plant life forms are made on Creation Day 3. On this third day of Creation, God makes His last main separation by dividing the water from the land. The day starts with an earth covered by water. The day ends with the water gathered in one place and the appearance of dry land. The description in Chapter 1 of Genesis seems to imply, that at the end of this third day of Creation, there is one piece of land that is surrounded by one body of water. This appears to be consistent with what is seen by looking at a globe of the earth. The current continents appear to have once been one piece that was broken up like pieces of a giant jigsaw puzzle at the time of Noah’s Flood. God simply speaks and the waters separate and the land appears. “God called the dry land earth, and the gathering together of the waters He called seas”. The earth that was once “without form, and void; and darkness was on the face of the deep”, described in Genesis 1:2, now has the shapes formed by earth (land) and sea that can be seen due to the presence of light. The land and the water are now both divided shapes of matter that can be filled with all forms of life “according to its kind”. God spoke again and “the earth brought forth grass, the herb that yields seeds according to its kind, and the tree that yields fruit, whose seed is in itself according to its kind”, according to Genesis 1:12. All plant life was fully grown and able to reproduce itself. The fruit, seeds and plants would also produce food for the animal life that would be created on days five and six of Creation Week. We can reasonably assume that there was also plant life in the seas as well as the land. Even though the sun would not be created until the next day, the process of photosynthesis in plants that produces oxygen for water and land animals would have started due to the presence of the light that was created on Creation Day 1 of Creation Week.",Day#3 Creation,364,0,3,Wednesday,October,16,Creation Day,3,4115,BC,Wednesday,October,24,Heshvan ,3,4101,BC,S,7,223861.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Genesis 1:14-19,Creation Day 4,"Creation Day 4 becomes the completion and fulfillment of Creation Day 1. On Creation Day 1 the separation between darkness and light is created by the creation of light. On the fourth day, the light created on Creation Day 1 is attached to or reflected by the heavenly bodies such as stars, moons, planets, comets and our sun. Genesis 1:14 states, the ""lights in the firmament"" begin functioning as transmitters of light. On the fourth day of Creation, God attaches the light He has made on the first day of Creation to the different ""heavenly bodies"". This totally removes the argument for an old earth because some stars are four million light years away. The argument claims that we are seeing the light that left such stars four million years ago. What we are seeing is the light that left such stars about 6,113 solar years ago, when the universe was created. God created the stars and the light between them and earth at the same time. The sun and stars appear to produce their own light as they burn matter. Planets and moons reflect light from stars. Science claims that the sun appears to be made up of 98% helium and hydrogen. Science is unable to explain the process by which the sun burns many thousands of tons of this matter every second. It has been known for many years that the sun is shrinking in diameter at a rate of about five feet in diameter per day. One scientist has estimated that if the sun were 50,000 years old, the oceans on earth would have boiled unless the sun was a much greater distance away. Several scientists have concluded that based on the speed of the shrinking sun, it seems impossible that the sun and earth could be older than about 7,000 years. This fact and other scientific findings, like the measured decline of earth’s magnetic field since 1830, show that the earth cannot be more than 10,000 years based on our knowledge of certain scientific realities of physics. The reader is encouraged to do their own research of the facts in order to properly discern scientific fact from fictional evolutionary theory that is not based on true scientific investigation.",Day#4 Creation,1,0,4,Thursday,October,17,Creation Day,4,4115,BC,Thursday,October,25,Heshvan ,4,4101,BC,S,8,223862.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Genesis 1:20-23,Creation Day 5,"On Creation Day 5, God speaks swarms of living creatures into the sea and fills the expanse above the earth with birds. Creation Day 5 is the first day of conscious life forms. On Creation Day 3, plants were made that were living things but without consciousness or the ability to independently move freely. According to Genesis 1:22, God commands all living creatures in the sea and air (heavens) to: “Be fruitful and multiply, and fill the waters of the seas, and let birds multiply on the earth”.  The same command is given to all the animals on land and to Adam and Eve on the sixth day of Creation Week. On the Gregorian-Hebrew Calendar (GH), the corresponding date for the fifth day of Creation Week is Friday October 26 – Heshvan 5, 4101 BC (GH). The ability to reproduce in obedience to God’s command is only possible because each species has its own DNA coding. On days three, five, and six, the phrase “according to its kind” is used a total of ten times in Genesis 1:11-25. On Day 3 it is very clear that grass, herbs and fruit trees produce other plants with the same genetic coding. Grasses do not become fruit trees. There is no evolutionary process of one species becoming another. \pThere is no mention in Scripture of simple life forms evolving upwards to form more complex living organisms. Like the other days of Creation Week, God simply speaks His Word and an uncountable number of living creatures fill the sea and the air. All creatures are created full grown with their own unique genetic coding completely formed. According to Genesis 1:20-21, this all happened on the fifth day when God says; “Let the waters abound with an abundance of living creatures, and let birds fly above the earth across the face of the firmament of the heavens”.  So God created great sea creatures and every living thing that moves, with which the waters abounded, according to their kind, and every winged bird according to its kind. And God saw that it was good”. \pIt is very clear from Scripture that birds do not evolve from reptiles as is commonly touted by some evolutionary scientists. While there may be variation and change within a species after creation, such as different kinds of dogs, this has absolutely nothing to do with the instantaneous creation of all the different species of birds and water creatures in one 24-hour period. Science, with its vast amount of information, has absolutely no way of explaining or contributing to our understanding of how the incredible events of Creation Week happened. Evolutionary explanations defy every form of rational process and known true science. There are two main reasons that science has difficulty explaining Evolution. Evolution is biologically impossible and there is no scientific evidence for it because it never happened.",Day#5 Creation,2,0,5,Friday,October,18,Creation Day,5,4115,BC,Friday,October,26,Heshvan ,5,4101,BC,S,9,223863.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Genesis 1:24-31, 2:7-25",Creation Day 6,"God begins the sixth day of Creation Week by creating all land-based creatures “according to its kind”, according to Genesis 1:24-25. The land animals are divided into “cattle and creeping things and beast of the earth”. Cattle would probably include all four-legged domestic animals. The beasts of the earth would refer to all other land-based animals including the dinosaurs. Creeping things would refer to all forms of animals that walk on the earth, including all forms of insects that fly or move in some manner on the ground. Creation Day 6 is finished with the creation of Adam and Eve. With reference to Adam and Eve, Scripture does not use the phrase “according to its kind”. Instead Genesis 1:26-28 states, ”Then God said, “Let Us make man in Our image, according to Our likeness; let them have dominion over the fish of the sea, over the birds of the air, and over the cattle, over all the earth and over every creeping thing that creeps on the earth”. So God created man in His own image; in the image of God He created him; male and female He created them. Then God blessed them, and God said to them, “Be fruitful and multiply; fill the earth and subdue it; have dominion over the fish of the sea, over the birds of the air, and over every living thing that moves on the earth”. It is very clear that God created Adam and Eve to be the only animal in creation that can reproduce offspring that will be “in the image of God.” Adam and Eve were the first and only man and woman created fully mature. Adam and Eve were created by God on Saturday, October 19 – Day Six of Creation Week in 4115 BC. The Gregorian-Hebrew Calendar (GH) date for the sixth day of Creation, is Saturday, October 27 – Heshvan 6 in 4101 BC (GH).",Day#6 Creation,3,0,6,Saturday,October,19,Creation Day,6,4115,BC,Saturday,October,27,Heshvan ,6,4101,BC,S,10,223864.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Genesis 1:24-31, 2:7-25, 5:1-5; Luke 3:38",Creation Day 6-Creation of Adam ,"Adam was created on Creation Day 6 of Creation Week and lived 930 years and 183 days, using DFC dating. Adam is the father of Seth and male ancestor of all human beings. Like the other parts of the created order, Adam and Eve are blessed by God and instructed to: “Be fruitful and multiply” and “fill the earth”. Adam and Eve are also instructed to subdue the earth and have dominion over all of God’s Creation. The phrase, “according to its kind”, is applied to all the birds, fish, and land animals, but not to Adam and Eve. Adam and Eve are the only part of Creation made in “His own image; in the image of God He created them”.",Day#6 Creation,3,0,6,Saturday,October,19,Creation Day,6,4115,BC,Saturday,October,27,Heshvan ,6,4101,BC,S,10,223864.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Genesis 2:18-25,Creation Day 6-Creation of Eve,Eve is created on Creation Day 6 of Creation Week to be a “helper” for Adam. Eve is the mother of Seth and female ancestor of all human beings.,Day#6 Creation,3,0,6,Saturday,October,19,Creation Day,6,4115,BC,Saturday,October,27,Heshvan ,6,4101,BC,S,10,223864.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Genesis 2:1-6,God Blessed the Seventh Day ,"Genesis 2:1-3 says, “Thus the heavens and the earth, and all the host of them, were finished. And on the seventh day God ended His work which He had done, and He rested on the seventh day from all His work which He had done. Then God blessed the seventh day and sanctified it, because in it He rested from all His work which God had created and made”. Creation Day 7 is certainly a day that has been set apart from the other six days of Creation Week. Creation Day 7 is the day that God “sanctified” and “rested” from His Creation. God rested because Creation was complete. Genesis 1:31 states, “God saw everything that He had made, and indeed it was very good”. God had created everything and it was perfect. Since sin had not entered the Creation equation at this point in time, there was no death, dying, decay, or disease. There was no rain, tornadoes, earthquakes, bad weather or weeds. Man did not have to work hard just to survive. Any plant food that was needed was readily available in some form of seed, fruit or vegetable for all of God’s creatures, including Man. There was a great abundance and diversity of types of food. Killing another animal to eat was not necessary. God ceased from all His creative work because nothing else needed to be done. When Adam and Eve fell into disobedience, God then turned His attention to the preservation of a fallen world that was always plunging toward death and decay. Since He is a Holy God and “the wages of sin is death (Romans 6:23)"", God then began the process of Redemption. Since the penalty for sin is both eternal and spiritual death, Scripture begins to record the history of Salvation in Genesis 3:15 where it states, “He shall bruise your head”. This is the first mention of the “He” who would bring Salvation. The significance of Creation Day 7 is given more commentary by Moses during the Exodus. Jesus gives more insight into the purpose of the Sabbath and the inappropriate idolization of Creation Day 7 among the spiritually blind Jewish leaders in His teachings in the New Testament.",Day#7 Creation,4,0,7,Sunday,October,20,Creation Day,7,4115,BC,Sunday,October,28,Heshvan ,7,4101,BC,S,11,223865.75,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Genesis 3:1-21,The Temptation and Fall of Man,"The events of the Fall, and other events before the birth of Seth, are all estimated EST dates. Some historians have placed this event immediately after the Creation of Adam and Eve. Others have placed this event as much as 100 years later. Considering the depth of the fallen nature of mankind, this author and others have estimated this date is about two weeks after Creation Week. In this part of Scripture, we are given a very clear picture of Satan’s strategy for leading humans down the path to disobedience to God and His Word. Genesis 3:1 records the first question in recorded history, “Has God indeed said, ‘You shall not eat of every tree of the garden’?” One of Satan’s most effective tools is to get us to question God’s Word.  Notice how Satan twists the question to imply that God would not allow Eve to eat from “every tree of the garden” instead of just the one tree in the “midst” of the garden that was prohibited. God had been very specific in his instructions to Adam in Genesis 2:17 where it states: “Of every tree of the garden you may freely eat; but of the tree of knowledge of good and evil you shall not eat, for in the day that you eat of it you shall surely die”. These instructions are obviously given by Adam to Eve as seen in her statement to Satan in Genesis 3:2-3. After planting the seed of doubt in Eve’s mind about what God had actually said, Satan then turns his attention to casting doubt on God’s motives in giving instructions about the deadly consequences of disobedience to His Word. \pThe resulting first and still most popular of Satan’s lies, “You will not surely die”, is found in Genesis 3:4. Every lie related to the theory of Evolution is some form of questioning, lying, or twisting of God’s Word in order to persuade people to foolishly think that there are no serious or eternal consequences for disobedience to His Word. It is easy to ignore the consequences of disobedience to God’s Word as soon as you start doubting what He said. Those who think that the “days” of Creation Week mean something different than ordinary 24-hour days have fallen into this deception that comes straight from Hell. Once you begin to think of death and dying and millions of years of evolutionary “change by chance”, why would you need a Savior from the effects of the Fall? If Genesis 1:1 is not real history, in what chapter and verse do you think God starts telling the truth? This is always a good question to ask if you are listening to one of the many false teachers telling you the “real” meaning of the Book of Genesis and describes the days of Creation Week as something different than ordinary 24-hour days. Satan’s plan has always been to deceive people into thinking God’s Word does not mean what it says, there will be no serious consequences to disobedience, and God does not have your best interests in making His laws. This research will clearly show that belief in any form of Evolution is contrary to the stated text in Scripture. Belief in any form of an evolutionary lie is inconsistent with a belief in the God of the Bible as a totally sovereign Creator.",EST,18,0,21,Sunday,November,3,Heshvan,14,4115,BC,Sunday,November,11,Heshvan ,21,4101,BC,S,25,223879.75,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
