year,title,era,type,region,summary,confidence
4,"Jesus, Mary and Joseph Arrive in Egypt",EST,EST,,Estimated arrival date is the same date as Jacob meeting with Pharaoh in Egypt in 1875 BC.,
4,Death of Herod the Great,EST,EST,,The Julian date of March 13 in 4 BC is commonly given as the date in history for the death of Herod the Great. March 11 on the Gregorian calendar is the same as March 13 on the Julian calendar in 4 BC.,
4,Joseph Instructed to Return Family to Israel,EST,EST,,,
4,"Joseph, Mary and Jesus Arrive in Israel",EST,EST,,,
4,Jesus and His Family Change Direction Toward Galilee,Sol-Passover,Sol-Passover,,,
4,Jesus and His Family Settle in Nazareth,ESDIS,ESDIS,,,
5,Angel Gabriel Announces Birth of Christ,EST,EST,,"This event happens six months (178 days) after the estimated date that John the Baptist is conceived and 266 days before the birth of Jesus on Sunday, October 20, 5 BC.",
5,Mary is Told Conception is by the Holy Spirit,EST,EST,,,
5,Joseph Finds Out That Mary is Pregnant,EST,EST,,,
5,Joseph Takes Mary as His Wife,EST,EST,,,
5,Mary Visits Her Relative Elizabeth,EST,EST,,"Mary sings a ""song of praise"" rejoicing in God as Savior. Mary stays with Elizabeth until near the birth of John the Baptist.",
5,The Birth of John the Baptist,EST,EST,,,
5,John the Baptist is Circumcised,EST,EST,,,
5,Zacharias Voice is Restored,PCD,PCD,,,
5,Zacharias Prophesies About John's Ministry,PCD,PCD,,,
5,The Birth of Jesus in Bethlehem,PCD,PCD,,,
5,The Circumcision of Jesus on the Eighth Day,PCD,PCD,,,
5,Purification of Mary Forty Days After Son's Birth,PCD,PCD,,,
5,Simeon's Prophecy Regarding Jesus,ESDIS,ESDIS,,,
5,Testimony of Anna the Prophetess,ESDIS,ESDIS,,,
5,Wisemen Meet With Herod in Jerusalem,ESDIS,ESDIS,,,
5,Wisemen Follow the Star to Bethlehem,ESDIS,ESDIS,,,
5,Wisemen Worship Jesus and Present Gifts,ESDIS,ESDIS,,It is interesting to note that this day on the Gregorian calendar is December 25.,
5,Wiseman Warned Not to Return to Herod,ESDIS,ESDIS,,,
5,Joseph Instructed to Flee to Egypt,ESDIS,ESDIS,,,
5,Herod's Troops Kill Babies Under Two Years Old,Extra-Biblical,Extra-Biblical,,,
6,Angel Announces Birth of John the Baptist,EST,EST,,"The Priest Zacharias is chosen to burn the incense in front of the veil that divides the Most Holy Place from the Holy Place in the Temple. This high honor, determined by drawing lots, was only given once to a Priest. Because there were so many Priests, many of them never got the honor of performing this important Temple ritual. Zacharias encounters the Angel Gabriel who tells him that his wife, Elizabeth would conceive John the Baptist. When Zacharias asks for verification of the Angel’s message, he is made speechless until the birth of his son, John the Baptist, as a sign that the Angel’s message is true. This Av 7 date is exactly 520 years after the start of the burning of the Jerusalem Temple in 526 BC according to 2 Kings 25:8-10.",
6,Zacharias Returns Home After Temple Service,EST,EST,,"Zacharias returns home and is now temporarily mute after his encounter with the Angel Gabriel in the Temple in Jerusalem. This Av 10 date is exactly 520 years after end of the burning of the Jerusalem Temple in 526 BC, according to Jeremiah 52:12-16.",
6,Elizabeth Conceives John the Baptist,EST,EST,,"This date is 262 days before the calculated birth of John the Baptist on Sunday, April 20, 5 BC. This Av 17 date in 406 BC is exactly 400 years after the precise calculated date (PCD) of the end of Daniel’s first “seven weeks” of his “70 Weeks prophecy”. The end of the first “seven weeks” dates the completion of the rebuilding of Jerusalem. This important date happens during the reign of Darius the Persian, as recorded in Daniel 9:27.",
9,Nisan 14 Passover of Jesus at Twelve Years Old,ESDIS,ESDIS,,"In the Old Testament, Nisan 14 Passover always falls on a Tuesday. The Nisan 14 Passover date, in the New Testament, becomes an example of an exact known solar date from Creation (SDFC). In the New Testament, we are now dealing with a solar calendar. Starting in 1 AD, a solar-Passover dated event falls on Nisan 14 Passover and can always be accurately placed on the Gregorian-Hebrew calendar. Nisan 14 Passover will always fall on April 5 on the Gregorian calendar in a non-leap year. Nisan 14 will always fall on April 3 in a leap year. In the year 30 AD, Nisan 14 falls on a Friday and is the day of the crucifixion of Jesus.",
9,Jesus is Found With Teachers in the Temple,Extra-Biblical,Extra-Biblical,,It is estimated that this event happened six days after the end of the Feast of Unleavened Bread that ends on Nisan 22 on the Gregorian-Hebrew calendar.,
9,Jesus and Family Return to Nazareth,ESDIS,ESDIS,,,
11,Tiberius Begins Three Year Joint Reign With Augustus,PCD,PCD,,Several sources confirm this date and year. Coins stamped in 12 AD show a picture of Tiberius as Emperor in the first of his three years of a joint reign with Augustus. This would make the fifteenth year of his reign and the year of the baptism of Jesus in the late summer or fall of 26 AD. The Roman reigns normally start on July 1 on the Julian calendar. June 29 on the Gregorian calendar is the same day as July 1 on the Julian calendar in 11 AD.,
26,John the Baptist Begins Preaching Ministry at Thirty,PCD,PCD,,"This is the estimated thirtieth birthday of John the Baptist. This date is exactly six months before the calculated date of the thirtieth birthday of Jesus on Sunday, October 20, of the same year.",
26,The Baptism of Jesus at the River Jordon,EST,EST,,The baptism of Jesus happens exactly 480 years after the completion of the Jerusalem Wall on Elul 25 in 455 BC (Nehemiah 6:15). This event also occurs forty-two days before the thirtieth birthday of Jesus in the fifteenth year of the reign of Tiberius.,
26,Night Number One of Forty in the Wilderness,EST,EST,,,
26,Satan Temps Jesus to Turn Stones to Bread,EST,EST,,Jesus quotes Deuteronomy 8:3.,
26,Satan Temps Jesus to Jump From Top of Temple,EST,EST,,"Satan quotes Psalms 91:11-12. Jesus quotes Deuteronomy 6:16. Moses raises question of ""tempting the Lord"" in Exodus 17:2.",
26,Satan Temps Jesus With World's Kingdoms,EST,EST,,Jesus quotes from Deuteronomy 6:13 and Exodus 34:14. Jesus commands Satan in the same manner in Matthew 16:23 and Mark 8:33.,
26,Satan Temporarily Departs After Temptations,PCD,PCD,,,
26,Angels Minister to Jesus After Satan Departs,PCD,PCD,,,
26,Jesus Fasts Forty Days and Returns to Galilee,EST,EST,,"Moses also fasted forty days as recorded in Deuteronomy 9:9, 18. Elijah fasted for forty days, according to I Kings 19:8.",
26,Jesus Turns Thirty Years Old in Fifteenth Year of Tiberius,EST,EST,,The thirtieth birthday of Jesus occurs two days after he returns from the Temptations in the Wilderness. This event is in the fifteenth year of the reign of Tiberius.,
26,John Tells About Events at the Baptism of Jesus,EST,EST,,John the Baptist tells his disciples about the events of the Baptism of Jesus that had happened forty-two days earlier. This date marks the estimated thirtieth birthday of Jesus. It seems that it may have a custom for a Prophet to start at the age of thirty. Ezekiel began at the age of thirty according to Ezekiel 1:1. King David began his forty year reign as King of Israel at the age of thirty according to 2 Samuel 5:4.,
26,John the Baptist Talks to Two of His Disciples,EST,EST,,,
26,Andrew and James Leave John and Follow Jesus,EST,EST,,"""Now it was about the tenth hour"" means it was about 4:00 p.m. in the afternoon.",
26,Andrew Introduces Jesus to Simon Peter,EST,EST,,"Jesus renames Peter as Cephas which means ""a stone.""",
26,"Jesus Instructs Philip to ""Follow Me""",EST,EST,,,
26,Philip Introduces Nathanael to Jesus,EST,EST,,,
