entry_index	headword	label	canon	slug	ch
1	Ad Hominem	John 7:24	newtestament	john	7
9	America	Revelation 18:2–4	newtestament	revelation	18
10	America (Edomite Extension)	Revelation 18:2–4	newtestament	revelation	18
10	America (Edomite Extension)	Revelation 13:1	newtestament	revelation	13
13	And (Conjunction)	John 14:15	newtestament	john	14
22	Ass / Donkey	Matthew 21:5	newtestament	matthew	21
25	Beast (Symbolic)	Revelation 13:2	newtestament	revelation	13
28	Bethlehem	Matthew 2:1	newtestament	matthew	2
31	Britain (Edomite Dominion)	Revelation 18:3	newtestament	revelation	18
36	Camel	Matthew 19:24	newtestament	matthew	19
38	Capernaum	Matthew 4:13	newtestament	matthew	4
38	Capernaum	Mark 2:1	newtestament	mark	2
44	Clouds	Matthew 24:30	newtestament	matthew	24
45	Colonialism	Revelation 18:3	newtestament	revelation	18
49	Converse	Matthew 7:21–23	newtestament	matthew	7
53	Damascus	Acts 9:3	newtestament	acts	9
54	Deductive Reasoning	Matthew 7:17–18	newtestament	matthew	7
56	Dove	Matthew 3:16	newtestament	matthew	3
57	Dreadful Beast (Daniel’s Vision)	Revelation 13:1–2	newtestament	revelation	13
64	Edom / Idumea	Genesis 36	tanakh	genesis	
65	Edomite Continuity (Overview)	Revelation 17:9–13	newtestament	revelation	17
72	Europe (Edomite Confederation)	Revelation 12:3	newtestament	revelation	12
72	Europe (Edomite Confederation)	Revelation 17:12–13	newtestament	revelation	17
75	False Dichotomy	Mark 12:17	newtestament	mark	12
75	False Dichotomy	Matthew 22:21	newtestament	matthew	22
76	Firmament / Heaven	Revelation 4:1–3	newtestament	revelation	4
77	Galilee	Matthew 4:23	newtestament	matthew	4
77	Galilee	Acts 1:11	newtestament	acts	1
78	Galilee of the Gentiles	Matthew 4:15	newtestament	matthew	4
78	Galilee of the Gentiles	John 7:35	newtestament	john	7
79	Gentile	John 7:35	newtestament	john	7
79	Gentile	John 11:51	newtestament	john	11
79	Gentile	Luke 7:5	newtestament	luke	7
80	Gentiles	John 11:51	newtestament	john	11
80	Gentiles	Luke 7:5	newtestament	luke	7
80	Gentiles	John 11:51–52	newtestament	john	11
80	Gentiles	1 Peter 2:9	newtestament	1-peter	2
80	Gentiles	Romans 9:24–26	newtestament	romans	9
83	Greeks / Hellenes	John 12:20	newtestament	john	12
90	Herod the Idumean	Matthew 2:1–16	newtestament	matthew	2
91	Herodians (Idumean dynasty)	Mark 3:6	newtestament	mark	3
91	Herodians (Idumean dynasty)	Matthew 22:16	newtestament	matthew	22
95	Idumea / Idumeans	Mark 3:8	newtestament	mark	3
96	If-Then (Implication)	John 15:10	newtestament	john	15
103	Jerusalem	Luke 2:22	newtestament	luke	2
104	Judea	Matthew 2:1	newtestament	matthew	2
104	Judea	Luke 1:5	newtestament	luke	1
105	Judeans	John 4:22	newtestament	john	4
112	Lamb	John 1:29	newtestament	john	1
113	Law of Identity	Matthew 5:37	newtestament	matthew	5
114	Law of Non-Contradiction	John 7:24	newtestament	john	7
117	Leviathan	Job 41			
119	Light and Darkness	John 1:5	newtestament	john	1
120	Lion	Revelation 5:5	newtestament	revelation	5
122	Little Horn	Revelation 13:5–7	newtestament	revelation	13
131	Moor	Acts 8:27	newtestament	acts	8
135	Nazareth	Matthew 2:23	newtestament	matthew	2
135	Nazareth	Luke 4:16	newtestament	luke	4
136	Negro	Acts 13:1	newtestament	acts	13
140	Or (Disjunction)	Matthew 6:24	newtestament	matthew	6
144	Parthians	Acts 2:9	newtestament	acts	2
148	Phoenicians	Mark 7:24	newtestament	mark	7
153	Rainbow (Covenant Sign)	Revelation 4:3	newtestament	revelation	4
153	Rainbow (Covenant Sign)	Revelation 10:1	newtestament	revelation	10
157	Red Dragon	Revelation 12:3	newtestament	revelation	12
157	Red Dragon	Revelation 12:9	newtestament	revelation	12
157	Red Dragon	Revelation 13:1	newtestament	revelation	13
157	Red Dragon	Revelation 17:9–12	newtestament	revelation	17
160	Romans	Luke 2:1	newtestament	luke	2
160	Romans	John 11:48	newtestament	john	11
161	Rome (Edom in later tradition)	Luke 2:1	newtestament	luke	2
162	Rome (Edomite Power)	Revelation 13:1	newtestament	revelation	13
165	Samaria	John 4:9	newtestament	john	4
166	Samaritans	John 4:9	newtestament	john	4
167	Scarlet Beast	Revelation 17:3–6	newtestament	revelation	17
167	Scarlet Beast	Revelation 17:9–13	newtestament	revelation	17
167	Scarlet Beast	Revelation 18:3	newtestament	revelation	18
171	Serpent (Symbolic)	John 8:44	newtestament	john	8
171	Serpent (Symbolic)	Revelation 12:9	newtestament	revelation	12
177	Signs in the Heavens	Revelation 6:12–13	newtestament	revelation	6
180	Stars	Revelation 6:13	newtestament	revelation	6
180	Stars	Revelation 12:4	newtestament	revelation	12
186	Thunder & Lightning	Revelation 4:5	newtestament	revelation	4
191	Wind / Spirit (Ruach)	John 3:8	newtestament	john	3
