idx	headword	label	status	canon	slug	ch	v	url
	Ad Hominem	John 7:24	FAIL			7	24	None
	America	Revelation 18:2–4	FAIL			18	2	None
	America (Edomite Extension)	Revelation 18:2–4	FAIL			18	2	None
	America (Edomite Extension)	Revelation 13:1	FAIL			13	1	None
	And (Conjunction)	John 14:15	FAIL			14	15	None
	Ass / Donkey	Matthew 21:5	FAIL			21	5	None
	Beast (Symbolic)	Revelation 13:2	FAIL			13	2	None
	Bethlehem	Matthew 2:1	FAIL			2	1	None
	Britain (Edomite Dominion)	Revelation 18:3	FAIL			18	3	None
	Camel	Matthew 19:24	FAIL			19	24	None
	Capernaum	Matthew 4:13	FAIL			4	13	None
	Capernaum	Mark 2:1	FAIL			2	1	None
	Clouds	Matthew 24:30	FAIL			24	30	None
	Colonialism	Revelation 18:3	FAIL			18	3	None
	Converse	Matthew 7:21–23	FAIL			7	21	None
	Damascus	Acts 9:3	FAIL			9	3	None
	Deductive Reasoning	Matthew 7:17–18	FAIL			7	17	None
	Dove	Matthew 3:16	FAIL			3	16	None
	Dreadful Beast (Daniel’s Vision)	Revelation 13:1–2	FAIL			13	1	None
	Edomite Continuity (Overview)	Revelation 17:9–13	FAIL			17	9	None
	Europe (Edomite Confederation)	Revelation 12:3	FAIL			12	3	None
	Europe (Edomite Confederation)	Revelation 17:12–13	FAIL			17	12	None
	False Dichotomy	Mark 12:17	FAIL			12	17	None
	False Dichotomy	Matthew 22:21	FAIL			22	21	None
	Firmament / Heaven	Revelation 4:1–3	FAIL			4	1	None
	Galilee	Matthew 4:23	FAIL			4	23	None
	Galilee	Acts 1:11	FAIL			1	11	None
	Galilee of the Gentiles	Matthew 4:15	FAIL			4	15	None
	Galilee of the Gentiles	John 7:35	FAIL			7	35	None
	Gentile	John 7:35	FAIL			7	35	None
	Gentile	John 11:51	FAIL			11	51	None
	Gentile	Luke 7:5	FAIL			7	5	None
	Gentiles	John 11:51	FAIL			11	51	None
	Gentiles	Luke 7:5	FAIL			7	5	None
	Gentiles	John 11:51–52	FAIL			11	51	None
	Gentiles	1 Peter 2:9	FAIL			2	9	None
	Gentiles	Romans 9:24–26	FAIL			9	24	None
	Greeks / Hellenes	John 12:20	FAIL			12	20	None
	Herod the Idumean	Matthew 2:1–16	FAIL			2	1	None
	Herodians (Idumean dynasty)	Mark 3:6	FAIL			3	6	None
	Herodians (Idumean dynasty)	Matthew 22:16	FAIL			22	16	None
	Idumea / Idumeans	Mark 3:8	FAIL			3	8	None
	If-Then (Implication)	John 15:10	FAIL			15	10	None
	Jerusalem	Luke 2:22	FAIL			2	22	None
	Judea	Matthew 2:1	FAIL			2	1	None
	Judea	Luke 1:5	FAIL			1	5	None
	Judeans	John 4:22	FAIL			4	22	None
	Lamb	John 1:29	FAIL			1	29	None
	Law of Identity	Matthew 5:37	FAIL			5	37	None
	Law of Identity	James 5:12	FAIL			5	12	None
	Law of Non-Contradiction	John 7:24	FAIL			7	24	None
	Leviathan	Job 41	FAIL			41		
	Light and Darkness	John 1:5	FAIL			1	5	None
	Lion	Revelation 5:5	FAIL			5	5	None
	Little Horn	Revelation 13:5–7	FAIL			13	5	None
	Moor	Acts 8:27	FAIL			8	27	None
	Nazareth	Matthew 2:23	FAIL			2	23	None
	Nazareth	Luke 4:16	FAIL			4	16	None
	Negro	Acts 13:1	FAIL			13	1	None
	Or (Disjunction)	Matthew 6:24	FAIL			6	24	None
	Parthians	Acts 2:9	FAIL			2	9	None
	Phoenicians	Mark 7:24	FAIL			7	24	None
	Rainbow (Covenant Sign)	Revelation 4:3	FAIL			4	3	None
	Rainbow (Covenant Sign)	Revelation 10:1	FAIL			10	1	None
	Red Dragon	Revelation 12:3	FAIL			12	3	None
	Red Dragon	Revelation 12:9	FAIL			12	9	None
	Red Dragon	Revelation 13:1	FAIL			13	1	None
	Red Dragon	Revelation 17:9–12	FAIL			17	9	None
	Romans	Luke 2:1	FAIL			2	1	None
	Romans	John 11:48	FAIL			11	48	None
	Rome (Edom in later tradition)	Luke 2:1	FAIL			2	1	None
	Rome (Edomite Power)	Revelation 13:1	FAIL			13	1	None
	Samaria	John 4:9	FAIL			4	9	None
	Samaritans	John 4:9	FAIL			4	9	None
	Scarlet Beast	Revelation 17:3–6	FAIL			17	3	None
	Scarlet Beast	Revelation 17:9–13	FAIL			17	9	None
	Scarlet Beast	Revelation 18:3	FAIL			18	3	None
	Serpent (Symbolic)	John 8:44	FAIL			8	44	None
	Serpent (Symbolic)	Revelation 12:9	FAIL			12	9	None
	Signs in the Heavens	Revelation 6:12–13	FAIL			6	12	None
	Stars	Revelation 6:13	FAIL			6	13	None
	Stars	Revelation 12:4	FAIL			12	4	None
	Thunder & Lightning	Revelation 4:5	FAIL			4	5	None
	Wind / Spirit (Ruach)	John 3:8	FAIL			3	8	None
